Origin_clean,Asylum_clean,Value,origin_lon,origin_lat,asylum_lon,asylum_lat
Afghanistan,Afghanistan,017975511142210000,66.08669022192831,33.85639928169076,66.08669022192831,33.85639928169076
Afghanistan,Algeria,0000*00,66.08669022192831,33.85639928169076,2.5980477916183444,28.185481278657537
Afghanistan,Angola,*000000,66.08669022192831,33.85639928169076,17.47057255231345,-12.245869036133188
Afghanistan,Argentina,*000500,66.08669022192831,33.85639928169076,-65.17536077114173,-35.44682148949511
Afghanistan,Armenia,*000000,66.08669022192831,33.85639928169076,45.00029001101479,40.21660761230143
Afghanistan,Australia,2077000921700,66.08669022192831,33.85639928169076,134.50277547536595,-25.730654779726077
Afghanistan,Austria,297830002022000,66.08669022192831,33.85639928169076,14.076158884337072,47.6139487927463
Afghanistan,Azerbaijan,1060005621120,66.08669022192831,33.85639928169076,47.553909558006055,40.22069054766167
Afghanistan,Belarus,700022700,66.08669022192831,33.85639928169076,27.98135261544802,53.50634479481113
Afghanistan,Belgium,6457000320100,66.08669022192831,33.85639928169076,4.580834113854934,50.65244095902296
Afghanistan,Bosnia and Herz.,*000000,66.08669022192831,33.85639928169076,17.816883270390075,44.18076776297473
Afghanistan,Brazil,340009800,66.08669022192831,33.85639928169076,-53.05434003576711,-10.806773643498916
Afghanistan,Bulgaria,763600017000,66.08669022192831,33.85639928169076,25.19511095327711,42.7531187620217
Afghanistan,Canada,456000317700,66.08669022192831,33.85639928169076,-98.14238137209698,61.46907614534888
Afghanistan,Chad,0000*00,66.08669022192831,33.85639928169076,18.581329525332883,15.328867399839657
Afghanistan,Chile,00001300,66.08669022192831,33.85639928169076,-71.52064394516428,-39.04701430994844
Afghanistan,China,20000*00,66.08669022192831,33.85639928169076,103.88361230063248,36.555066531858685
Afghanistan,Colombia,0000800,66.08669022192831,33.85639928169076,-73.0777320869748,3.9272138627097055
Afghanistan,Costa Rica,0000*00,66.08669022192831,33.85639928169076,-84.17542309600948,9.965671127464528
Afghanistan,Croatia,1400003900,66.08669022192831,33.85639928169076,16.566189771645533,45.016233995931124
Afghanistan,Cuba,00004500,66.08669022192831,33.85639928169076,-78.96068490970256,21.631751541025228
Afghanistan,Cyprus,9000700,66.08669022192831,33.85639928169076,33.03955380295407,34.90706085094344
Afghanistan,Czechia,1600023400,66.08669022192831,33.85639928169076,15.334558102365815,49.775245294369
Afghanistan,Denmark,1555000236400,66.08669022192831,33.85639928169076,9.876372937675002,56.06393446179454
Afghanistan,Dominican Republic,0000*00,66.08669022192831,33.85639928169076,,
Afghanistan,Egypt,210001400,66.08669022192831,33.85639928169076,29.844461513124404,26.50661999974955
Afghanistan,Estonia,00002300,66.08669022192831,33.85639928169076,25.8247256130266,58.643695426630906
Afghanistan,Ethiopia,0000*00,66.08669022192831,33.85639928169076,39.55125579293772,8.65399918813258
Afghanistan,Fiji,0000700,66.08669022192831,33.85639928169076,163.85316464458234,-17.31630942638265
Afghanistan,Finland,986000221600,66.08669022192831,33.85639928169076,26.21176461029636,64.50409403963653
Afghanistan,France,4180000768500,66.08669022192831,33.85639928169076,-2.876696699270627,42.46070432663372
Afghanistan,Georgia,9000*00,66.08669022192831,33.85639928169076,43.481542654090276,42.162015014153006
Afghanistan,Germany,1265220004629200,66.08669022192831,33.85639928169076,10.288485092742851,51.13372269040778
Afghanistan,Greece,42170001144000,66.08669022192831,33.85639928169076,22.719813447095056,39.066715899713955
Afghanistan,Hungary,1392000100800,66.08669022192831,33.85639928169076,19.357628627745918,47.19995117195427
Afghanistan,Iceland,210001200,66.08669022192831,33.85639928169076,-18.761028770831768,65.07427633529105
Afghanistan,India,425500076931190,66.08669022192831,33.85639928169076,79.59370376325381,22.92500640740852
Afghanistan,Indonesia,27750004379220,66.08669022192831,33.85639928169076,117.42340756227367,-2.2217379365205416
Afghanistan,Iran,700095114222980,66.08669022192831,33.85639928169076,54.285451496891426,32.51891731762539
Afghanistan,Iraq,1330001100,66.08669022192831,33.85639928169076,43.75691096461423,33.03682096372491
Afghanistan,Ireland,11600022200,66.08669022192831,33.85639928169076,-8.010236544877014,53.180591209950066
Afghanistan,Italy,19260001603300,66.08669022192831,33.85639928169076,12.140788372235871,42.75118305296426
Afghanistan,Japan,00004900,66.08669022192831,33.85639928169076,138.06496213270776,37.66311081170466
Afghanistan,Jordan,9000800,66.08669022192831,33.85639928169076,36.77945490632519,31.245490584748417
Afghanistan,Kazakhstan,8700059900,66.08669022192831,33.85639928169076,67.28461098110006,48.19166075218231
Afghanistan,Kenya,0000800,66.08669022192831,33.85639928169076,37.79155528666138,0.5959662521769502
Afghanistan,Kyrgyzstan,7200024200,66.08669022192831,33.85639928169076,74.62040481092558,41.50689371318262
Afghanistan,Latvia,100004400,66.08669022192831,33.85639928169076,24.833296149803438,56.80717513427924
Afghanistan,Lebanon,70002200,66.08669022192831,33.85639928169076,35.87098632001643,33.91182720781994
Afghanistan,Libya,*000000,66.08669022192831,33.85639928169076,17.97435277916037,26.99746040702032
Afghanistan,Lithuania,1500019900,66.08669022192831,33.85639928169076,23.88064027584349,55.284319484766066
Afghanistan,Luxembourg,2320004300,66.08669022192831,33.85639928169076,5.965223432343999,49.76570507415103
Afghanistan,Madagascar,*000*00,66.08669022192831,33.85639928169076,46.69117091471639,-19.356114077828778
Afghanistan,Malaysia,45400025200,66.08669022192831,33.85639928169076,109.6981484486297,3.7255884257737155
Afghanistan,Mauritania,7000000,66.08669022192831,33.85639928169076,-10.326396925234992,20.20926720635376
